Saison;Compétition;Journée;Date;Dom./Ext.;Pour;Contre;Résultat;Pos.;Minute;À ce moment;Type de but;Passeur
Saison 04/05;Saison 04/05;Saison 04/05;Saison 04/05;Saison 04/05;Saison 04/05;Saison 04/05;Saison 04/05;Saison 04/05;Saison 04/05;Saison 04/05;Saison 04/05;Saison 04/05
Saison 04/05;2ª B - Grupo III;2;05/09/2004;D;FC Barcelona (1.);Girona FC (5.);01:02;AiG;65';01:02;Tir du pied gauche;Dani Fernández
Saison 04/05;2ª B - Grupo III;4;18/09/2004;D;FC Barcelona (1.);RCD Espanyol B (17.);02:00;AiG;88';02:00;Tir du pied gauche;Dani Fernández
Saison 04/05;2ª B - Grupo III;10;31/10/2004;E;FC Barcelona (1.);Villajoyosa CF (8.);02:01;MO;2';00:01;Non rapporté;
Saison 04/05;2ª B - Grupo III;14;28/11/2004;E;FC Barcelona (1.);UE Figueres (15.);02:02;MO;20';00:01;Non rapporté;
Saison 04/05;2ª B - Grupo III;17;19/12/2004;D;FC Barcelona (1.);CD Alcoyano (11.);02:00;AC;40';02:00;Tir du pied gauche;
Saison 04/05;2ª B - Grupo III;33;23/04/2005;D;FC Barcelona (1.);UE Figueres (11.);02:02;MO;15';02:00;Tir du pied droit;Paco Montañés
Saison 04/05;LaLiga;34;01/05/2005;D;FC Barcelona (1.);Albacete (19.);02:00;AC;90'+1;02:00;Tir du pied gauche;Ronaldinho
Saison 05/06;Saison 05/06;Saison 05/06;Saison 05/06;Saison 05/06;Saison 05/06;Saison 05/06;Saison 05/06;Saison 05/06;Saison 05/06;Saison 05/06;Saison 05/06;Saison 05/06
Saison 05/06;UEFA Champions League;Gruppenphase;02/11/2005;D;FC Barcelona ;Panathinaikos;05:00;AiD;34';03:00;Tir du pied gauche;
Saison 05/06;LaLiga;13;27/11/2005;D;FC Barcelona (1.);Racing (18.);04:01;AiD;51';02:00;Tir du pied gauche;Samuel Eto'o
Saison 05/06;LaLiga;19;15/01/2006;D;FC Barcelona (1.);Athletic (19.);02:01;AiD;50';02:01;Tir du pied gauche;Mark van Bommel
Saison 05/06;LaLiga;20;22/01/2006;D;FC Barcelona (1.);Alavés (19.);02:00;AC;82';02:00;Tir du pied gauche;Ronaldinho
Saison 05/06;LaLiga;21;29/01/2006;E;FC Barcelona (1.);RCD Mallorca (17.);00:03;AC;75';00:02;Tir du pied droit;Sylvinho
Saison 05/06;Coupe du Roi;Viertelfinale;01/02/2006;D;FC Barcelona ;Real Zaragoza;02:01;AC;42';01:00;Tête;Ludovic Giuly
Saison 05/06;LaLiga;24;18/02/2006;D;FC Barcelona (1.);Real Betis (15.);05:01;AiD;84';05:01;Tir du pied gauche;
Saison 06/07;Saison 06/07;Saison 06/07;Saison 06/07;Saison 06/07;Saison 06/07;Saison 06/07;Saison 06/07;Saison 06/07;Saison 06/07;Saison 06/07;Saison 06/07;Saison 06/07
Saison 06/07;LaLiga;1;28/08/2006;E;FC Barcelona (2.);Celta de Vigo (18.);02:03;AiG;59';01:02;Tir du pied gauche;Andrés Iniesta
Saison 06/07;LaLiga;2;09/09/2006;D;FC Barcelona (4.);CA Osasuna (19.);03:00;AiD;36';03:00;Tir du pied gauche;Samuel Eto'o
Saison 06/07;UEFA Champions League;Gruppenphase;27/09/2006;E;FC Barcelona ;Werder Bremen;01:01;AiD;89';01:01;Tir du pied gauche;Deco
